AGE,SEX,YEAR.MEASURED,GLASSES,HANDED,RANK,HEIGHT,WEIGHT
22,M,87,NEITHER,1,1,1.809,90.5
21,M,87,GLASSES,1,1,1.692,73.5
23,M,87,NEITHER,1,1,1.886,94.6
28,M,87,NEITHER,1,2,1.828,78.8
28,M,87,NEITHER,1,2,1.664,70.7
24,M,87,NEITHER,1,2,1.75,76.8
23,M,87,NEITHER,1,2,1.857,78
20,M,87,NEITHER,1,1,1.783,75.7
21,M,87,NEITHER,1,1,1.748,65.8
25,M,87,GLASSES,1,4,1.891,90.7
26,M,87,NEITHER,1,4,1.72,74.2
20,M,87,NEITHER,1,1,1.804,70.8
24,M,87,NEITHER,1,1,1.7,61.3
25,M,87,GLASSES,1,1,1.76,63.7
26,M,87,NEITHER,1,2,1.741,88.1
23,M,87,NEITHER,1,4,1.702,68.1
23,M,87,NEITHER,1,1,1.728,69
22,M,87,NEITHER,1,1,1.955,99.4
24,M,87,NEITHER,2,1,1.667,70.2
24,M,87,NEITHER,1,4,1.764,76.6
24,M,87,NEITHER,1,4,1.744,70.1
20,M,87,NEITHER,1,1,1.877,75.2
20,M,87,CONTACTS,1,1,1.792,88.2
22,M,87,NEITHER,1,1,1.895,95.9
20,M,87,NEITHER,1,1,1.673,72
25,M,87,NEITHER,1,4,1.732,77.8
20,M,87,NEITHER,1,1,1.693,80.9
21,M,87,NEITHER,1,1,1.802,91.7
26,M,87,NEITHER,1,2,1.753,76.5
28,M,87,NEITHER,2,2,1.788,82.9
21,M,87,NEITHER,1,1,1.735,83.4
22,M,87,NEITHER,1,1,1.756,89
29,M,87,NEITHER,1,2,1.883,88.7
20,M,87,NEITHER,2,1,1.722,86.8
23,M,87,GLASSES,1,4,1.725,74.8
22,M,87,NEITHER,1,2,1.694,82.5
26,M,87,NEITHER,1,2,1.765,73.2
26,M,87,NEITHER,1,2,1.786,106.7
21,M,87,NEITHER,1,1,1.774,72.1
21,M,87,GLASSES,1,1,1.79,89.4
21,M,87,NEITHER,1,1,1.706,67.5
21,M,87,GLASSES,1,1,1.718,62.7
20,M,87,GLASSES,1,1,1.781,66.7
20,M,87,NEITHER,1,1,1.776,68.3
25,M,87,NEITHER,1,1,1.727,63.5
24,M,87,GLASSES,1,1,1.72,76.2
26,M,87,NEITHER,1,2,1.588,67.2
27,M,87,NEITHER,1,2,1.725,97
29,M,87,NEITHER,1,2,1.796,89.6
29,M,87,NEITHER,2,1,1.815,85.8
23,M,87,GLASSES,1,1,1.837,102.4
27,M,87,GLASSES,1,2,1.668,70
24,M,87,NEITHER,1,2,1.705,73.8
20,M,88,NEITHER,1,1,1.732,88.3
20,M,88,GLASSES,1,1,1.699,67.8
25,M,88,BOTH,1,2,1.782,83.8
22,M,88,GLASSES,1,2,1.769,76.6
23,M,88,NEITHER,2,1,1.716,87.7
20,M,88,NEITHER,1,1,1.764,84.1
26,M,88,NEITHER,1,1,1.699,71
26,M,88,NEITHER,1,2,1.743,69.5
28,M,88,NEITHER,1,2,1.838,85.2
20,M,88,NEITHER,2,1,1.786,68.7
20,M,88,GLASSES,1,1,1.738,59.4
24,M,88,NEITHER,1,1,1.708,70.3
24,M,88,NEITHER,1,1,1.724,66.3
23,M,88,NEITHER,1,1,1.7,76.2
25,M,88,NEITHER,1,2,1.751,71.5
21,M,88,NEITHER,1,1,1.691,95.9
28,M,88,GLASSES,1,4,1.904,91.3
22,M,88,NEITHER,1,1,1.727,79.2
20,M,88,NEITHER,1,1,1.856,98.8
28,M,88,NEITHER,2,1,1.731,87.6
20,M,88,NEITHER,1,1,1.653,67.8
27,M,88,NEITHER,1,1,1.94,104.3
29,M,87,NEITHER,1,2,1.759,70.6
26,M,87,GLASSES,1,4,1.7,76.4
25,M,87,NEITHER,1,4,1.743,77.2
22,M,88,NEITHER,1,1,1.715,82.4
28,M,88,NEITHER,1,2,1.875,73.3
26,M,88,NEITHER,1,2,1.748,73.8
25,M,88,GLASSES,1,1,1.775,79.7
20,M,88,NEITHER,1,1,1.84,108.2
20,M,88,NEITHER,1,1,1.736,61.2
24,M,88,NEITHER,1,4,1.732,75
24,M,88,GLASSES,1,1,1.65,64.4
26,M,88,NEITHER,1,1,1.843,87.4
26,M,88,NEITHER,1,2,1.858,83.3
28,M,88,NEITHER,1,2,1.705,74.4
23,M,88,NEITHER,1,2,1.727,71.3
24,M,88,NEITHER,1,4,1.713,81.6
22,M,88,NEITHER,1,1,1.793,68.8
23,M,88,GLASSES,1,1,1.762,82.9
25,M,88,NEITHER,1,1,1.741,80.5
25,M,88,BOTH,1,1,1.672,65.1
20,M,88,BOTH,1,1,1.8,88.3
